Avalanche Effect Test Results
==============================

Original	Modified	Hash1	Hash2	Bits Changed
g3WyM4H	h3WyM4H	51	116	4
g3WyM4H	g3WyM4Hx	51	165	4
c3WyM4H	d3WyM4H	47	112	6
c3WyM4H	c3WyM4Hx	47	41	2
c7WyM4H	d7WyM4H	171	236	4
c7WyM4H	c7WyM4Hx	171	45	3
c7GyM4H	d7GyM4H	155	220	4
c7GyM4H	c7GyM4Hx	155	61	4
c7GyM6H	d7GyM6H	217	26	4
c7GyM6H	c7GyM6Hx	217	191	4
c7G9M6H	d7G9M6H	25	90	3
c7G9M6H	c7G9M6Hx	25	127	4
c7G9O6H	d7G9O6H	155	220	4
c7G9O6H	c7G9O6Hx	155	61	4
c7G9O6X	d7G9O6X	171	236	4
c7G9O6X	c7G9O6Xx	171	45	3
c7G9O6P	d7G9O6P	163	228	4
c7G9O6P	c7G9O6Px	163	53	4
c7G8O6P	d7G8O6P	68	133	3
c7G8O6P	c7G8O6Px	68	180	4
cwG8O6P	dwG8O6P	4	69	2
cwG8O6P	cwG8O6Px	4	244	4
cwG8O6T	dwG8O6T	8	73	2
cwG8O6T	cwG8O6Tx	8	112	4
cwG8O6t	dwG8O6t	40	105	2
cwG8O6t	cwG8O6tx	40	80	4
cwG9O6t	dwG9O6t	135	200	5
cwG9O6t	cwG9O6tx	135	209	4
cwG9K6t	dwG9K6t	131	196	4
cwG9K6t	cwG9K6tx	131	85	5
cWG9K6t	dWG9K6t	163	228	4
cWG9K6t	cWG9K6tx	163	53	4
cWG1K6t	dWG1K6t	171	236	4
cWG1K6t	cWG1K6tx	171	45	3
cWG1C6t	dWG1C6t	163	228	4
cWG1C6t	cWG1C6tx	163	53	4
cWG1C4t	dWG1C4t	101	166	4
cWG1C4t	cWG1C4tx	101	179	5
cWG3C4t	dWG3C4t	35	100	4
cWG3C4t	cWG3C4tx	35	181	4
sWG3C4t	tWG3C4t	51	116	4
sWG3C4t	sWG3C4tx	51	165	4
sWG3C4d	tWG3C4d	35	100	4
sWG3C4d	sWG3C4dx	35	181	4
sWG3S4d	tWG3S4d	51	116	4
sWG3S4d	sWG3S4dx	51	165	4
sWG7S4d	tWG7S4d	175	240	6
sWG7S4d	sWG7S4dx	175	169	2
sWO7S4d	tWO7S4d	183	248	5
sWO7S4d	sWO7S4dx	183	161	3
sWOwS4d	tWOwS4d	119	184	6
sWOwS4d	sWOwS4dx	119	225	4
sSOwS4d	tSOwS4d	251	60	5
sSOwS4d	sSOwS4dx	251	221	3
rSOwS4d	sSOwS4d	186	251	2
rSOwS4d	rSOwS4dx	186	254	2
rSOwR4d	sSOwR4d	249	58	4
rSOwR4d	rSOwR4dx	249	159	4
rSOwr4d	sSOwr4d	25	90	3
rSOwr4d	rSOwr4dx	25	127	4
zSOwr4d	aSOwr4d	33	200	5
zSOwr4d	zSOwr4dx	33	119	4
jSOwr4d	kSOwr4d	17	82	3
jSOwr4d	jSOwr4dx	17	135	4
bSOwr4d	cSOwr4d	9	74	3
bSOwr4d	bSOwr4dx	9	143	3
bSOwr4f	cSOwr4f	11	76	4
bSOwr4f	bSOwr4fx	11	205	4
bSOwr4n	cSOwr4n	19	84	4
bSOwr4n	bSOwr4nx	19	197	5
bSOwr5n	cSOwr5n	50	115	2
bSOwr5n	bSOwr5nx	50	134	4
bSOvr5n	cSOvr5n	211	20	5
bSOvr5n	bSOvr5nx	211	5	5
bSOvr7n	cSOvr7n	17	82	3
bSOvr7n	bSOvr7nx	17	135	4
bSO6r7n	cSO6r7n	81	146	4
bSO6r7n	bSO6r7nx	81	71	3
bSO6z7n	cSO6z7n	89	154	4
bSO6z7n	bSO6z7nx	89	63	4
bSO6j7n	cSO6j7n	73	138	4
bSO6j7n	bSO6j7nx	73	79	2
bSo6j7n	cSo6j7n	105	170	4
bSo6j7n	bSo6j7nx	105	47	3
bSO6j7n	cSO6j7n	73	138	4
bSO6j7n	bSO6j7nx	73	79	2
bSO6j7f	cSO6j7f	65	130	4
bSO6j7f	bSO6j7fx	65	87	3
bSG6j7f	cSG6j7f	57	122	3
bSG6j7f	bSG6j7fx	57	95	4
bSG6j5f	cSG6j5f	251	60	5
bSG6j5f	bSG6j5fx	251	221	3
bSG6k5f	cSG6k5f	188	253	2
bSG6k5f	bSG6k5fx	188	60	1
bSG4k5f	cSG4k5f	254	63	3
bSG4k5f	bSG4k5fx	254	58	3
bSG5k5f	cSG5k5f	93	158	4
bSG5k5f	bSG5k5fx	93	187	5
bSG5k5F	cSG5k5F	61	126	3
bSG5k5F	bSG5k5Fx	61	219	5
jSG5k5F	kSG5k5F	69	134	4
jSG5k5F	jSG5k5Fx	69	211	4
jSG5k5f	kSG5k5f	101	166	4
jSG5k5f	jSG5k5fx	101	179	5
jWG5k5f	kWG5k5f	225	34	4
jWG5k5f	jWG5k5fx	225	183	4
jWg5k5f	kWg5k5f	1	66	3
jWg5k5f	jWg5k5fx	1	151	4
zWg5k5f	aWg5k5f	17	184	4
zWg5k5f	zWg5k5fx	17	135	4
zWg5o5f	aWg5o5f	21	188	4
zWg5o5f	zWg5o5fx	21	3	3
zWg5ouf	aWg5ouf	213	124	4
zWg5ouf	zWg5oufx	213	67	4
zWg5oud	aWg5oud	211	122	4
zWg5oud	zWg5oudx	211	5	5
zWg5o5d	aWg5o5d	19	186	4
zWg5o5d	zWg5o5dx	19	197	5
zWg5O5d	aWg5O5d	243	154	4
zWg5O5d	zWg5O5dx	243	229	3
zWg5O5t	aWg5O5t	3	170	4
zWg5O5t	zWg5O5tx	3	213	5
zWg7O5t	aWg7O5t	193	104	4
zWg7O5t	zWg7O5tx	193	215	3
ZWg7O5t	AWg7O5t	161	72	5
ZWg7O5t	ZWg7O5tx	161	247	4
Zwg7O5t	Awg7O5t	129	40	4
Zwg7O5t	Zwg7O5tx	129	23	4
Zwg5O5t	Awg5O5t	195	106	4
Zwg5O5t	Zwg5O5tx	195	21	5
Zwg5O5p	Awg5O5p	191	102	5
Zwg5O5p	Zwg5O5px	191	153	3
Jwg5O5p	Kwg5O5p	175	240	6
Jwg5O5p	Jwg5O5px	175	169	2
Jwg5O5r	Kwg5O5r	177	242	3
Jwg5O5r	Jwg5O5rx	177	231	4
Jwg5N5r	Kwg5N5r	240	49	3
Jwg5N5r	Jwg5N5rx	240	136	4
Jwg5N5b	Kwg5N5b	224	33	3
Jwg5N5b	Jwg5N5bx	224	152	4
Nwg5N5b	Owg5N5b	228	37	3
Nwg5N5b	Nwg5N5bx	228	20	4
Nwg1N5b	Owg1N5b	104	169	3
Nwg1N5b	Nwg1N5bx	104	16	4
Fwg1N5b	Gwg1N5b	96	161	3
Fwg1N5b	Fwg1N5bx	96	24	4
FwG1N5b	GwG1N5b	64	129	3
FwG1N5b	FwG1N5bx	64	56	4
FwG1N5c	GwG1N5c	65	130	4
FwG1N5c	FwG1N5cx	65	87	3
FwG9N5c	GwG9N5c	57	122	3
FwG9N5c	FwG9N5cx	57	95	4
FWG9N5c	GWG9N5c	89	154	4
FWG9N5c	FWG9N5cx	89	63	4
FWg9N5c	GWg9N5c	121	186	4
FWg9N5c	FWg9N5cx	121	31	4
FWc9N5c	GWc9N5c	117	182	4
FWc9N5c	FWc9N5cx	117	163	5
DWc9N5c	EWc9N5c	243	52	5
DWc9N5c	DWc9N5cx	243	229	3
DWc9F5c	EWc9F5c	235	44	5
DWc9F5c	DWc9F5cx	235	237	2
DWc9F5k	EWc9F5k	243	52	5
DWc9F5k	DWc9F5kx	243	229	3
DWc9Fuk	EWc9Fuk	179	244	4
DWc9Fuk	DWc9Fukx	179	37	4
DWc9Vuk	EWc9Vuk	195	4	5
DWc9Vuk	DWc9Vukx	195	21	5
DWs9Vuk	EWs9Vuk	211	20	5
DWs9Vuk	DWs9Vukx	211	5	5
TWs9Vuk	UWs9Vuk	227	36	5
TWs9Vuk	TWs9Vukx	227	245	3
TWs1Vuk	UWs1Vuk	235	44	5
TWs1Vuk	TWs1Vukx	235	237	2
VWs1Vuk	WWs1Vuk	109	174	4
VWs1Vuk	VWs1Vukx	109	171	4
VWs1Vek	WWs1Vek	125	190	4
VWs1Vek	VWs1Vekx	125	155	5
VWsqVek	WWsqVek	61	126	3
VWsqVek	VWsqVekx	61	219	5
VWsqRek	WWsqRek	57	122	3
VWsqRek	VWsqRekx	57	95	4
vWsqRek	wWsqRek	89	154	4
